"San Francisco, CA","$4,680 "
"New York, NY","$3,580 "
"Boston, MA","$2,600 "
"San Jose, CA","$2,700 "
"Washington, DC","$2,920 "
"Oakland, CA","$2,400 "
"Miami, FL","$2,500 "
"Chicago, IL","$2,390 "
"Los Angeles, CA","$2,500 "
"Seattle, WA","$2,140 "
"San Diego, CA","$1,980 "
"Philadelphia, PA","$1,400 "
"Portland, OR","$1,500 "
"Denver, CO","$1,700 "
"Minneapolis, MN","$1,530 "
"Atlanta, GA","$1,500 "
"Long Beach, CA","$1,630 "
"Baltimore, MD","$1,480 "
"Austin, TX","$1,410 "
"Dallas, TX","$1,475 "
"Charlotte, NC","$1,130 "
"Houston, TX","$1,230 "
"Milwaukee, WI","$1,130 "
"Virginia Beach, VA","$1,150 "
"Raleigh, NC","$1,000 "
"Jacksonville, FL","$1,000 "
"Nashville, TN",$960 
"Sacramento, CA","$1,000 "
"San Antonio, TX","$1,040 "
"Louisville, KY",$900 
"Fort Worth, TX",$940 
"Kansas City, MO",$760 
"Phoenix, AZ",$900 
"Omaha, NE",$900 
"Columbus, OH",$860 
"Fresno, CA",$850 
"Cleveland, OH",$815 
"Mesa, AZ",$880 
"Las Vegas, NV",$860 
"Colorado Springs, CO",$900 
"Arlington, TX",$830 
"Memphis, TN",$680 
"El Paso, TX",$800 
"Albuquerque, NM",$800 
"Oklahoma City, OK",$750 
"Indianapolis, IN",$690 
"Tulsa, OK",$740 
"Tucson, AZ",$760 
"Detroit, MI",$600 
"Wichita, KS",$670 
