,,,,
Date,US_Income,California_Income,San_Francisco_Income,2BR_Median_Rent
2015,"$55,775 ","$64,500 ","$88,518 ","$4,830 "
2014,"$53,719 ","$62,005 ","$83,318 ","$4,580 "
2013,"$53,166 ","$61,246 ","$81,021 ","$3,300 "
2012,"$53,031 ","$60,213 ","$77,344 ","$3,000 "
2011,"$53,223 ","$60,374 ","$75,853 ","$2,573 "
2010,"$54,405 ","$62,734 ","$79,388 ","$2,737 "
2009,"$55,478 ","$65,100 ","$81,554 ","$2,695 "
2008,"$57,276 ","$67,175 ","$84,598 ","$2,650 "
2007,"$58,003 ","$68,529 ","$84,113 ","$2,750 "
2006,"$56,957 ","$66,589 ","$82,833 ","$2,400 "
2005,"$56,122 ","$65,087 ","$79,351 ","$2,243 "
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
